filename,width,height,class,xmin,ymin,xmax,ymax
131.jpg,467,495,pothole,33,151,192,206
131.jpg,467,495,pothole,277,159,324,202
132.jpg,1024,682,pothole,481,225,1024,366
132.jpg,1024,682,pothole,1,161,488,277
133.jpg,1600,1103,pothole,312,702,980,978
134.jpg,448,301,pothole,350,17,413,87
134.jpg,448,301,pothole,285,52,329,85
134.jpg,448,301,pothole,226,91,271,113
134.jpg,448,301,pothole,145,30,213,58
135.jpg,800,600,pothole,55,171,695,373
136.jpg,0,0,pothole,130,140,743,487
137.jpg,380,312,pothole,55,201,110,233
137.jpg,380,312,pothole,125,209,170,254
137.jpg,380,312,pothole,212,186,263,217
137.jpg,380,312,pothole,143,124,191,146
137.jpg,380,312,pothole,241,116,284,136
137.jpg,380,312,pothole,289,167,331,207
137.jpg,380,312,pothole,323,258,375,311
138.jpg,368,206,pothole,48,121,272,206
139.jpg,750,519,pothole,2,295,353,419
139.jpg,750,519,pothole,430,320,524,423
139.jpg,750,519,pothole,434,165,750,265
139.jpg,750,519,pothole,123,229,335,292
14.jpg,1075,375,pothole,276,272,679,375
140.jpg,800,600,pothole,289,213,541,389
141.jpg,400,206,pothole,181,158,244,190
141.jpg,400,206,pothole,75,71,116,92
141.jpg,400,206,pothole,179,29,227,48
141.jpg,400,206,pothole,221,73,256,89
141.jpg,400,206,pothole,217,97,250,111
141.jpg,400,206,pothole,273,71,306,97
141.jpg,400,206,pothole,324,14,400,41
141.jpg,400,206,pothole,92,39,128,51
141.jpg,400,206,pothole,155,121,232,157
142.jpg,700,525,pothole,68,164,447,465
143.jpg,446,301,pothole,271,153,384,216
143.jpg,446,301,pothole,3,137,172,175
143.jpg,446,301,pothole,254,126,384,156
143.jpg,446,301,pothole,56,90,144,116
143.jpg,446,301,pothole,3,88,47,129
143.jpg,446,301,pothole,164,106,207,133
144.jpg,768,1024,pothole,39,395,651,997
144.jpg,768,1024,pothole,171,23,585,267
145.jpg,320,294,pothole,29,180,92,199
145.jpg,320,294,pothole,108,93,165,111
145.jpg,320,294,pothole,94,131,144,147
145.jpg,320,294,pothole,95,238,203,275
145.jpg,320,294,pothole,233,247,320,269
146.jpg,600,400,pothole,208,221,310,247
146.jpg,600,400,pothole,132,250,222,280
146.jpg,600,400,pothole,17,275,140,307
146.jpg,600,400,pothole,313,213,446,266
146.jpg,600,400,pothole,163,222,202,248
146.jpg,600,400,pothole,345,263,600,358
147.jpg,600,450,pothole,350,227,455,329
147.jpg,600,450,pothole,392,142,507,187
147.jpg,600,450,pothole,86,98,352,163
147.jpg,600,450,pothole,49,169,212,212
147.jpg,600,450,pothole,25,257,154,323
147.jpg,600,450,pothole,170,345,374,450
147.jpg,600,450,pothole,367,33,518,93
148.jpg,800,600,pothole,268,256,585,422
148.jpg,800,600,pothole,303,59,534,131
149.jpg,1000,666,pothole,66,468,323,584
15.jpg,800,600,pothole,191,119,553,371
150.jpg,640,360,pothole,114,198,600,287
151.jpg,200,150,pothole,8,56,155,135
151.jpg,200,150,pothole,107,22,139,42
151.jpg,200,150,pothole,130,44,166,63
152.jpg,700,466,pothole,349,354,607,441
153.jpg,300,200,pothole,55,48,277,155
154.jpg,640,268,pothole,108,133,571,214
155.jpg,260,260,pothole,1,97,226,251
156.jpg,759,422,pothole,415,97,759,193
156.jpg,759,422,pothole,437,197,759,288
156.jpg,759,422,pothole,45,156,219,229
156.jpg,759,422,pothole,310,342,471,422
156.jpg,759,422,pothole,126,373,300,422
156.jpg,759,422,pothole,276,1,579,60
156.jpg,759,422,pothole,1,60,55,106
156.jpg,759,422,pothole,270,254,383,316
156.jpg,759,422,pothole,669,315,759,422
157.jpg,534,401,pothole,18,99,533,306
158.jpg,999,473,pothole,9,207,98,282
158.jpg,999,473,pothole,284,114,387,222
158.jpg,999,473,pothole,389,238,522,301
158.jpg,999,473,pothole,493,356,584,466
158.jpg,999,473,pothole,776,164,918,249
158.jpg,999,473,pothole,695,222,792,302
158.jpg,999,473,pothole,878,371,942,451
158.jpg,999,473,pothole,92,190,307,283
158.jpg,999,473,pothole,579,356,715,465
159.jpg,620,411,pothole,193,181,354,229
159.jpg,620,411,pothole,362,210,575,356
159.jpg,620,411,pothole,446,121,592,172
16.jpg,730,430,pothole,1,275,214,406
16.jpg,730,430,pothole,136,136,312,201
16.jpg,730,430,pothole,338,186,664,339
16.jpg,730,430,pothole,341,80,503,142
16.jpg,730,430,pothole,500,1,700,61
16.jpg,730,430,pothole,216,6,407,57
160.jpg,620,387,pothole,72,121,498,192
161.jpg,1080,675,pothole,275,283,872,656
162.jpg,1019,521,pothole,155,131,393,184
162.jpg,1019,521,pothole,383,48,500,115
162.jpg,1019,521,pothole,450,208,622,494
162.jpg,1019,521,pothole,657,160,936,264
163.jpg,670,440,pothole,265,179,609,257
163.jpg,670,440,pothole,81,121,245,220
163.jpg,670,440,pothole,22,68,128,128
163.jpg,670,440,pothole,176,12,255,55
163.jpg,670,440,pothole,476,1,573,49
164.jpg,1632,1224,pothole,349,510,1399,986
165.jpg,885,590,pothole,259,265,478,409
165.jpg,885,590,pothole,551,214,677,297
165.jpg,885,590,pothole,48,269,177,323
165.jpg,885,590,pothole,1,452,179,521
165.jpg,885,590,pothole,735,25,882,119
166.jpg,0,0,pothole,111,161,704,299
166.jpg,0,0,pothole,317,77,531,155
166.jpg,0,0,pothole,129,71,203,138
167.jpg,400,267,pothole,74,73,166,117
167.jpg,400,267,pothole,19,151,92,195
167.jpg,400,267,pothole,333,135,400,206
167.jpg,400,267,pothole,91,20,177,48
167.jpg,400,267,pothole,216,32,317,75
168.jpg,1200,800,pothole,371,324,892,800
169.jpg,1140,754,pothole,325,480,600,588
169.jpg,1140,754,pothole,556,633,784,705
169.jpg,1140,754,pothole,824,646,961,741
169.jpg,1140,754,pothole,1,418,121,503
17.jpg,667,458,pothole,178,234,401,365
17.jpg,667,458,pothole,424,227,667,413
17.jpg,667,458,pothole,366,91,510,136
17.jpg,667,458,pothole,457,140,548,174
17.jpg,667,458,pothole,1,211,122,289
17.jpg,667,458,pothole,296,177,333,196
17.jpg,667,458,pothole,352,173,409,199
170.jpg,2996,1680,pothole,1785,1281,2215,1514
171.jpg,639,360,pothole,8,246,209,312
171.jpg,639,360,pothole,161,306,346,355
171.jpg,639,360,pothole,114,167,348,249
171.jpg,639,360,pothole,47,126,138,183
171.jpg,639,360,pothole,236,97,304,137
171.jpg,639,360,pothole,371,274,527,312
172.jpg,450,298,pothole,229,147,369,298
172.jpg,450,298,pothole,18,1,177,70
173.jpg,500,334,pothole,163,102,336,187
173.jpg,500,334,pothole,179,213,356,295
173.jpg,500,334,pothole,285,63,334,79
174.jpg,800,516,pothole,1,253,795,515
175.jpg,800,600,pothole,218,99,594,449
176.jpg,325,216,pothole,58,112,113,150
176.jpg,325,216,pothole,99,164,151,198
176.jpg,325,216,pothole,253,164,310,186
176.jpg,325,216,pothole,128,119,207,135
176.jpg,325,216,pothole,110,98,164,112
177.jpg,821,434,pothole,250,137,706,366
177.jpg,821,434,pothole,30,1,449,48
178.jpg,960,960,pothole,252,450,699,720
178.jpg,960,960,pothole,203,711,713,960
178.jpg,960,960,pothole,3,504,249,701
178.jpg,960,960,pothole,1,290,262,479
178.jpg,960,960,pothole,476,283,730,444
178.jpg,960,960,pothole,55,197,255,273
178.jpg,960,960,pothole,263,137,475,223
178.jpg,960,960,pothole,573,134,777,231
178.jpg,960,960,pothole,237,71,369,136
178.jpg,960,960,pothole,777,50,960,270
179.jpg,960,720,pothole,161,318,772,720
179.jpg,960,720,pothole,605,123,960,307
179.jpg,960,720,pothole,291,94,632,189
18.jpg,992,1473,pothole,310,916,626,1102
18.jpg,992,1473,pothole,617,195,990,311
18.jpg,992,1473,pothole,424,316,672,489
18.jpg,992,1473,pothole,597,652,951,900
180.jpg,970,430,pothole,310,113,815,328
181.jpg,759,422,pothole,117,245,604,421
181.jpg,759,422,pothole,179,136,495,235
181.jpg,759,422,pothole,2,139,153,241
182.jpg,590,320,pothole,206,108,368,235
183.jpg,1024,768,pothole,313,498,544,624
183.jpg,1024,768,pothole,537,342,729,390
183.jpg,1024,768,pothole,1,467,176,578
183.jpg,1024,768,pothole,74,372,260,472
183.jpg,1024,768,pothole,379,432,509,503
183.jpg,1024,768,pothole,524,451,655,526
183.jpg,1024,768,pothole,375,367,491,409
183.jpg,1024,768,pothole,605,583,751,724
183.jpg,1024,768,pothole,208,285,339,346
183.jpg,1024,768,pothole,327,231,473,313
184.jpg,759,422,pothole,312,341,467,422
184.jpg,759,422,pothole,455,195,759,309
184.jpg,759,422,pothole,39,154,222,230
184.jpg,759,422,pothole,1,53,60,121
184.jpg,759,422,pothole,270,2,561,64
184.jpg,759,422,pothole,138,365,303,422
184.jpg,759,422,pothole,1,316,54,417
185.jpg,400,300,pothole,1,213,105,300
185.jpg,400,300,pothole,190,175,400,300
185.jpg,400,300,pothole,1,96,200,174
186.jpg,986,554,pothole,644,433,806,553
186.jpg,986,554,pothole,461,399,574,486
187.jpg,1000,665,pothole,211,256,677,498
187.jpg,1000,665,pothole,703,182,784,248
188.jpg,895,468,pothole,346,182,480,310
188.jpg,895,468,pothole,574,242,796,445
189.jpg,640,480,pothole,249,101,559,445
19.jpg,570,321,pothole,283,144,485,228
19.jpg,570,321,pothole,175,153,274,234
19.jpg,570,321,pothole,401,250,467,276
19.jpg,570,321,pothole,273,241,303,254
19.jpg,570,321,pothole,309,248,355,272
190.jpg,1200,800,pothole,363,445,960,737
190.jpg,1200,800,pothole,704,304,970,429
191.jpg,270,176,pothole,41,60,230,165
191.jpg,270,176,pothole,109,13,201,50
192.jpg,1200,600,pothole,21,282,979,490
193.jpg,1297,859,pothole,286,310,923,660
194.jpg,899,599,pothole,197,134,899,278
194.jpg,899,599,pothole,218,306,578,477
195.jpg,1306,980,pothole,544,374,743,452
195.jpg,1306,980,pothole,559,449,777,615
196.jpg,400,267,pothole,252,86,370,158
197.jpg,1950,1460,pothole,475,869,1071,1345
197.jpg,1950,1460,pothole,1054,792,1436,1008
197.jpg,1950,1460,pothole,1295,592,1588,838
198.jpg,625,352,pothole,240,161,365,254
198.jpg,625,352,pothole,236,41,378,112
199.jpg,600,450,pothole,227,191,414,310
199.jpg,600,450,pothole,441,95,567,160
2.jpg,770,470,pothole,380,232,668,372
20.jpg,534,401,pothole,4,254,534,400
200.jpg,625,352,pothole,259,127,498,246
200.jpg,625,352,pothole,1,152,224,229
201.jpg,560,416,pothole,1,70,560,354
201.jpg,560,416,pothole,120,6,303,76
21.jpg,324,216,pothole,58,15,155,53
21.jpg,324,216,pothole,88,64,216,99
21.jpg,324,216,pothole,1,143,276,216
22.jpg,4032,3024,pothole,446,1578,2732,2235
23.jpg,590,350,pothole,2,192,361,326
23.jpg,590,350,pothole,351,136,426,185
24.jpg,849,1291,pothole,68,204,417,274
24.jpg,849,1291,pothole,40,286,334,388
24.jpg,849,1291,pothole,425,290,575,335
24.jpg,849,1291,pothole,615,574,849,706
25.jpg,450,337,pothole,176,133,343,169
26.jpg,1300,866,pothole,337,483,742,556
26.jpg,1300,866,pothole,253,581,1048,866
27.jpg,2500,1667,pothole,204,946,1753,1540
27.jpg,2500,1667,pothole,1414,725,2030,863
28.jpg,0,0,pothole,15,31,510,440
29.jpg,200,200,pothole,5,129,199,191
29.jpg,200,200,pothole,17,94,170,125
3.jpg,630,471,pothole,46,147,410,332
30.jpg,637,425,pothole,124,341,412,425
30.jpg,637,425,pothole,291,295,421,339
31.jpg,991,1200,pothole,65,205,991,932
32.jpg,700,466,pothole,308,26,535,313
32.jpg,700,466,pothole,1,257,221,466
33.jpg,450,299,pothole,71,142,446,299
33.jpg,450,299,pothole,199,106,394,142
34.jpg,800,600,pothole,499,101,759,232
35.jpg,420,316,pothole,59,77,388,188
36.jpg,634,510,pothole,71,259,413,317
36.jpg,634,510,pothole,114,180,307,232
36.jpg,634,510,pothole,298,336,464,379
37.jpg,960,640,pothole,298,454,480,485
37.jpg,960,640,pothole,492,460,826,590
37.jpg,960,640,pothole,390,317,672,387
38.jpg,700,830,pothole,203,669,462,811
38.jpg,700,830,pothole,364,449,508,497
38.jpg,700,830,pothole,275,364,439,401
38.jpg,700,830,pothole,126,493,265,543
39.jpg,1300,866,pothole,337,409,391,433
39.jpg,1300,866,pothole,533,276,599,309
39.jpg,1300,866,pothole,759,365,838,400
39.jpg,1300,866,pothole,776,436,1142,730
4.jpg,1019,827,pothole,268,498,1013,742
40.jpg,784,441,pothole,207,273,476,436
40.jpg,784,441,pothole,1,244,134,341
40.jpg,784,441,pothole,427,109,604,156
40.jpg,784,441,pothole,534,162,649,201
40.jpg,784,441,pothole,499,265,784,440
40.jpg,784,441,pothole,335,201,390,228
40.jpg,784,441,pothole,418,201,480,231
41.jpg,600,275,pothole,88,60,291,197
41.jpg,600,275,pothole,294,140,490,274
41.jpg,600,275,pothole,366,69,486,136
42.jpg,1299,861,pothole,599,649,717,748
42.jpg,1299,861,pothole,793,719,947,856
42.jpg,1299,861,pothole,284,666,478,837
42.jpg,1299,861,pothole,88,493,197,548
42.jpg,1299,861,pothole,401,536,507,601
42.jpg,1299,861,pothole,595,445,700,549
42.jpg,1299,861,pothole,747,522,816,570
42.jpg,1299,861,pothole,829,535,1117,685
42.jpg,1299,861,pothole,243,508,392,564
42.jpg,1299,861,pothole,400,436,451,465
42.jpg,1299,861,pothole,797,474,937,522
42.jpg,1299,861,pothole,610,397,683,420
42.jpg,1299,861,pothole,555,353,607,377
42.jpg,1299,861,pothole,401,387,445,406
42.jpg,1299,861,pothole,809,362,879,418
43.jpg,300,168,pothole,111,82,262,163
43.jpg,300,168,pothole,57,20,207,60
44.jpg,1299,971,pothole,318,416,407,469
44.jpg,1299,971,pothole,441,407,601,460
44.jpg,1299,971,pothole,4,266,282,414
44.jpg,1299,971,pothole,744,292,872,333
45.jpg,578,325,pothole,44,128,326,289
46.jpg,660,300,pothole,163,167,284,214
46.jpg,660,300,pothole,353,148,468,202
46.jpg,660,300,pothole,286,132,350,158
46.jpg,660,300,pothole,288,100,337,115
46.jpg,660,300,pothole,220,105,274,123
46.jpg,660,300,pothole,348,120,424,139
46.jpg,660,300,pothole,362,94,406,109
46.jpg,660,300,pothole,373,64,455,77
46.jpg,660,300,pothole,466,143,514,166
47.jpg,759,422,pothole,5,259,436,422
47.jpg,759,422,pothole,289,148,623,237
47.jpg,759,422,pothole,643,129,759,202
48.jpg,1024,683,pothole,334,445,628,582
48.jpg,1024,683,pothole,361,225,664,325
49.jpg,1140,500,pothole,159,113,932,390
5.jpg,450,300,pothole,161,198,239,234
5.jpg,450,300,pothole,187,161,272,197
5.jpg,450,300,pothole,274,114,309,149
50.jpg,615,410,pothole,45,198,524,410
51.jpg,1272,636,pothole,271,114,984,503
52.jpg,507,330,pothole,157,123,445,236
52.jpg,507,330,pothole,46,74,160,106
53.jpg,1180,664,pothole,347,156,552,252
53.jpg,1180,664,pothole,671,166,793,238
53.jpg,1180,664,pothole,928,430,1175,631
53.jpg,1180,664,pothole,733,252,828,308
53.jpg,1180,664,pothole,136,273,294,339
54.jpg,1295,893,pothole,56,461,1295,887
55.jpg,2048,1536,pothole,295,33,864,463
55.jpg,2048,1536,pothole,546,475,1434,991
56.jpg,576,1024,pothole,284,264,575,407
56.jpg,576,1024,pothole,3,336,576,675
57.jpg,900,600,pothole,297,201,578,353
58.jpg,1140,641,pothole,281,288,824,538
59.jpg,933,700,pothole,490,366,857,485
6.jpg,800,600,pothole,503,118,743,225
60.jpg,700,467,pothole,169,179,478,361
61.jpg,700,350,pothole,335,241,681,326
62.jpg,640,480,pothole,148,140,289,208
62.jpg,640,480,pothole,238,248,491,368
62.jpg,640,480,pothole,448,123,540,166
62.jpg,640,480,pothole,372,425,564,480
63.jpg,800,448,pothole,4,271,514,438
63.jpg,800,448,pothole,659,280,796,361
63.jpg,800,448,pothole,622,359,726,434
64.jpg,300,200,pothole,92,107,255,164
65.jpg,2560,1441,pothole,915,402,1836,1236
66.jpg,400,533,pothole,1,184,281,509
67.jpg,350,237,pothole,152,153,262,195
67.jpg,350,237,pothole,276,148,305,163
67.jpg,350,237,pothole,273,131,322,145
68.jpg,1272,636,pothole,334,219,868,458
68.jpg,1272,636,pothole,439,51,605,99
68.jpg,1272,636,pothole,1073,210,1252,287
69.jpg,780,439,pothole,115,223,419,351
69.jpg,780,439,pothole,434,178,597,238
69.jpg,780,439,pothole,260,121,412,185
69.jpg,780,439,pothole,514,296,760,413
69.jpg,780,439,pothole,345,60,533,115
69.jpg,780,439,pothole,96,54,255,113
69.jpg,780,439,pothole,640,79,780,135
7.jpg,240,180,pothole,18,107,123,147
7.jpg,240,180,pothole,90,87,203,107
70.jpg,968,648,pothole,434,324,565,411
70.jpg,968,648,pothole,435,142,524,182
70.jpg,968,648,pothole,303,92,417,180
71.jpg,3264,1836,pothole,1217,1107,1724,1377
71.jpg,3264,1836,pothole,1214,441,2507,674
71.jpg,3264,1836,pothole,659,787,1810,1104
72.jpg,400,300,pothole,189,153,281,200
73.jpg,1920,1080,pothole,341,517,1504,743
74.jpg,466,274,pothole,154,82,466,173
75.jpg,770,433,pothole,49,48,711,377
76.jpg,1280,720,pothole,356,431,585,495
76.jpg,1280,720,pothole,642,470,1174,562
76.jpg,1280,720,pothole,425,579,560,635
76.jpg,1280,720,pothole,282,517,405,561
76.jpg,1280,720,pothole,647,582,805,630
76.jpg,1280,720,pothole,886,577,1064,638
76.jpg,1280,720,pothole,492,288,637,344
76.jpg,1280,720,pothole,970,113,1146,185
76.jpg,1280,720,pothole,789,9,961,61
76.jpg,1280,720,pothole,1009,46,1187,111
77.jpg,640,360,pothole,58,81,582,220
78.jpg,1599,867,pothole,495,233,1369,864
78.jpg,1599,867,pothole,169,318,321,357
78.jpg,1599,867,pothole,679,60,924,130
79.jpg,670,451,pothole,51,203,195,244
79.jpg,670,451,pothole,106,247,282,293
79.jpg,670,451,pothole,204,183,328,227
79.jpg,670,451,pothole,154,139,232,181
79.jpg,670,451,pothole,395,219,530,282
79.jpg,670,451,pothole,367,360,667,451
79.jpg,670,451,pothole,558,251,606,273
79.jpg,670,451,pothole,352,186,424,207
8.jpg,400,267,pothole,223,58,295,73
8.jpg,400,267,pothole,128,105,206,140
8.jpg,400,267,pothole,112,144,224,178
8.jpg,400,267,pothole,146,188,278,235
80.jpg,759,422,pothole,2,197,755,422
81.jpg,760,427,pothole,92,270,323,297
81.jpg,760,427,pothole,276,300,410,332
81.jpg,760,427,pothole,362,227,487,246
81.jpg,760,427,pothole,447,204,521,223
81.jpg,760,427,pothole,521,323,643,358
81.jpg,760,427,pothole,83,332,193,376
81.jpg,760,427,pothole,396,270,552,301
82.jpg,1440,810,pothole,564,52,770,225
82.jpg,1440,810,pothole,895,86,1070,180
82.jpg,1440,810,pothole,833,599,1177,792
82.jpg,1440,810,pothole,1198,572,1433,759
83.jpg,1272,636,pothole,162,172,1104,490
84.jpg,400,206,pothole,163,125,222,152
84.jpg,400,206,pothole,180,157,226,193
84.jpg,400,206,pothole,74,73,113,92
84.jpg,400,206,pothole,119,105,157,121
84.jpg,400,206,pothole,219,99,245,113
84.jpg,400,206,pothole,125,52,154,75
84.jpg,400,206,pothole,184,34,218,48
84.jpg,400,206,pothole,222,72,251,85
84.jpg,400,206,pothole,275,72,298,90
84.jpg,400,206,pothole,133,86,162,100
85.jpg,1297,953,pothole,2,326,83,418
85.jpg,1297,953,pothole,2,528,103,658
85.jpg,1297,953,pothole,779,151,996,309
85.jpg,1297,953,pothole,331,153,548,257
86.jpg,600,400,pothole,10,319,250,400
87.jpg,460,276,pothole,115,114,311,216
87.jpg,460,276,pothole,333,81,363,101
88.jpg,980,653,pothole,269,132,586,583
89.jpg,800,600,pothole,133,188,707,374
9.jpg,770,433,pothole,359,325,588,394
9.jpg,770,433,pothole,543,259,766,314
9.jpg,770,433,pothole,216,396,381,433
90.jpg,436,269,pothole,21,70,321,194
91.jpg,680,383,pothole,340,168,620,309
92.jpg,700,468,pothole,303,45,488,235
93.jpg,300,195,pothole,25,81,252,148
94.jpg,200,200,pothole,1,52,119,149
95.jpg,639,426,pothole,100,216,173,269
95.jpg,639,426,pothole,364,324,458,387
95.jpg,639,426,pothole,419,254,480,286
95.jpg,639,426,pothole,400,190,447,210
96.jpg,725,483,pothole,348,241,633,443
97.jpg,630,472,pothole,227,366,417,453
97.jpg,630,472,pothole,91,288,209,313
97.jpg,630,472,pothole,161,240,225,255
97.jpg,630,472,pothole,491,334,604,363
97.jpg,630,472,pothole,471,285,536,299
97.jpg,630,472,pothole,46,336,154,385
97.jpg,630,472,pothole,267,229,308,243
98.jpg,635,424,pothole,139,93,456,313
99.jpg,640,360,pothole,104,141,389,322
99.jpg,640,360,pothole,506,190,640,334
